2023-06-22 18:18:28 error: [GET] /api/users/roles/undefined >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 18:18:28 error: [GET] /api/users/roles/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 18:18:28 error: [GET] /api/ussser/roles/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 18:19:04 error: [POST] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 18:19:04 error: [GET] /api/users/roles/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 18:19:04 error: [GET] /api/ussser/roles/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 18:19:27 error: [POST] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 18:19:27 error: [GET] /api/users/roles/undefined >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 18:19:27 error: [GET] /api/users/roles/undefined >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 18:19:27 error: [GET] /api/users/roles/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 18:19:27 error: [GET] /api/ussser/roles/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 18:20:13 error: [POST] /api/users/roles/crweateRoles >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 18:20:13 error: [GET] /api/users/roles/undefined >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 18:20:13 error: [GET] /api/users/roles/undefined >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 18:20:13 error: [GET] /api/users/roles/a >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
2023-06-22 18:20:13 error: [GET] /api/ussser/roles/29 >> StatusCode:: 500, Message:: Sorry, HTTP resource you are looking for was not found.
